arquivo,split,classes,objetos,ortho_scale
escolar_0000,train,lapis;borracha,2,8.454
escolar_0001,train,borracha;lapis,2,8.369
escolar_0002,train,apontador;lapis,2,9.417
escolar_0003,train,lapis;borracha;apontador,3,9.061
escolar_0004,train,borracha;lapis;apontador,3,8.643
escolar_0005,train,apontador;lapis,2,8.388
escolar_0006,train,lapis;apontador,2,9.374
escolar_0007,train,borracha,1,9.579
escolar_0008,train,apontador;lapis;borracha,3,9.470
escolar_0009,train,lapis,1,8.698
escolar_0010,train,borracha;lapis;apontador,3,8.588
escolar_0011,train,apontador;borracha,2,9.628
escolar_0012,train,lapis;apontador;borracha,3,8.875
escolar_0013,train,borracha;lapis;apontador,3,8.869
escolar_0014,train,apontador;borracha,2,8.821
escolar_0015,train,lapis;apontador,2,9.620
escolar_0016,train,borracha;lapis,2,9.195
escolar_0017,train,apontador;borracha,2,9.084
escolar_0018,train,lapis;borracha;apontador,3,8.549
escolar_0019,train,borracha,1,8.785
escolar_0020,train,apontador;borracha;lapis,3,9.272
escolar_0021,train,lapis;apontador;borracha,3,8.489
escolar_0022,train,borracha;apontador,2,8.681
escolar_0023,train,apontador;borracha;lapis,3,8.585
escolar_0024,train,lapis;apontador,2,9.312
escolar_0025,train,borracha;lapis;apontador,3,9.771
escolar_0026,train,apontador,1,8.464
escolar_0027,train,lapis;apontador,2,9.282
escolar_0028,train,borracha;lapis,2,8.825
escolar_0029,train,apontador;lapis;borracha,3,8.375
escolar_0030,train,lapis;borracha,2,9.502
escolar_0031,train,borracha;lapis;apontador,3,8.774
escolar_0032,train,apontador;borracha;lapis,3,8.795
escolar_0033,train,lapis;apontador;borracha,3,8.865
escolar_0034,train,borracha;lapis;apontador,3,9.696
escolar_0035,train,apontador;lapis;borracha,3,9.085
escolar_0036,train,lapis;borracha;apontador,3,9.593
escolar_0037,train,borracha;apontador;lapis,3,9.472
escolar_0038,train,apontador;borracha;lapis,3,9.368
escolar_0039,train,lapis,1,8.726
escolar_0040,train,borracha;apontador,2,9.024
escolar_0041,train,apontador;borracha,2,8.763
escolar_0042,train,lapis;apontador,2,8.599
escolar_0043,train,borracha,1,9.244
escolar_0044,train,apontador;borracha;lapis,3,9.265
escolar_0045,train,lapis,1,9.322
escolar_0046,train,borracha;apontador,2,8.356
escolar_0047,train,apontador;borracha;lapis,3,8.794
escolar_0048,train,lapis;borracha,2,8.963
escolar_0049,train,borracha;lapis;apontador,3,9.280
escolar_0050,train,apontador;borracha,2,9.459
escolar_0051,train,lapis;borracha;apontador,3,9.683
escolar_0052,train,borracha;lapis,2,9.380
escolar_0053,train,apontador;borracha;lapis,3,8.917
escolar_0054,train,lapis;apontador,2,9.338
escolar_0055,train,borracha,1,9.789
escolar_0056,train,apontador;lapis,2,9.195
escolar_0057,train,lapis;borracha,2,8.504
escolar_0058,train,borracha;apontador;lapis,3,9.197
escolar_0059,train,apontador;lapis;borracha,3,8.822
escolar_0060,train,lapis;borracha,2,8.828
escolar_0061,train,borracha;apontador;lapis,3,8.551
escolar_0062,train,apontador,1,9.155
escolar_0063,train,lapis;borracha,2,9.620
escolar_0064,train,borracha;lapis;apontador,3,9.737
escolar_0065,train,apontador;lapis,2,8.620
escolar_0066,train,lapis;apontador;borracha,3,8.842
escolar_0067,train,borracha;lapis,2,9.299
escolar_0068,train,apontador;lapis,2,8.667
escolar_0069,train,lapis,1,9.494
escolar_0070,train,borracha;apontador,2,9.530
escolar_0071,train,apontador;lapis,2,8.834
escolar_0072,train,lapis;borracha;apontador,3,8.940
escolar_0073,train,borracha;apontador;lapis,3,9.722
escolar_0074,train,apontador;borracha;lapis,3,8.753
escolar_0075,train,lapis;borracha;apontador,3,8.302
escolar_0076,train,borracha;apontador;lapis,3,8.444
escolar_0077,train,apontador,1,9.600
escolar_0078,train,lapis;apontador;borracha,3,9.135
escolar_0079,train,borracha;lapis,2,9.416
escolar_0080,train,apontador;lapis;borracha,3,9.606
escolar_0081,train,lapis;apontador,2,9.023
escolar_0082,train,borracha,1,9.137
escolar_0083,train,apontador;borracha;lapis,3,9.581
escolar_0084,train,lapis;borracha,2,8.747
escolar_0085,train,borracha;lapis,2,8.530
escolar_0086,train,apontador;borracha;lapis,3,8.985
escolar_0087,train,lapis;borracha,2,8.343
escolar_0088,train,borracha;apontador;lapis,3,8.376
escolar_0089,train,apontador;lapis;borracha,3,8.511
escolar_0090,train,lapis;apontador;borracha,3,8.919
escolar_0091,train,borracha,1,9.521
escolar_0092,train,apontador;lapis;borracha,3,8.595
escolar_0093,train,lapis;borracha,2,9.221
escolar_0094,train,borracha,1,9.375
escolar_0095,train,apontador;lapis,2,9.011
escolar_0096,train,lapis;apontador,2,8.992
escolar_0097,train,borracha;apontador;lapis,3,9.210
escolar_0098,train,apontador;borracha,2,8.648
escolar_0099,train,lapis;borracha,2,8.721
escolar_0100,train,borracha;lapis,2,9.492
escolar_0101,train,apontador;borracha,2,9.453
escolar_0102,train,lapis,1,8.760
escolar_0103,train,borracha;lapis;apontador,3,9.284
escolar_0104,train,apontador;borracha;lapis,3,8.687
escolar_0105,train,lapis;apontador,2,9.552
escolar_0106,train,borracha;lapis,2,9.172
escolar_0107,train,apontador;lapis,2,9.143
escolar_0108,train,lapis;borracha;apontador,3,8.419
escolar_0109,train,borracha;apontador,2,9.014
escolar_0110,train,apontador;lapis,2,8.583
escolar_0111,train,lapis,1,8.322
escolar_0112,train,borracha;lapis,2,9.009
escolar_0113,train,apontador;borracha,2,8.461
escolar_0114,train,lapis,1,9.230
escolar_0115,train,borracha;lapis;apontador,3,9.695
escolar_0116,train,apontador;lapis,2,9.654
escolar_0117,train,lapis;borracha,2,8.851
escolar_0118,train,borracha;lapis,2,8.524
escolar_0119,train,apontador;lapis;borracha,3,9.781
escolar_0120,train,lapis;borracha;apontador,3,9.291
escolar_0121,train,borracha;lapis;apontador,3,9.219
escolar_0122,train,apontador;lapis;borracha,3,8.646
escolar_0123,train,lapis;apontador;borracha,3,9.794
escolar_0124,train,borracha;lapis;apontador,3,9.763
escolar_0125,train,apontador;borracha,2,9.217
escolar_0126,train,lapis;borracha,2,9.045
escolar_0127,train,borracha;apontador;lapis,3,9.496
escolar_0128,train,apontador;lapis,2,9.467
escolar_0129,train,lapis,1,8.962
escolar_0130,train,borracha,1,8.833
escolar_0131,train,apontador;borracha,2,8.992
escolar_0132,train,lapis;apontador,2,9.197
escolar_0133,train,borracha;apontador;lapis,3,9.185
escolar_0134,train,apontador;borracha;lapis,3,9.170
escolar_0135,train,lapis,1,9.577
escolar_0136,train,borracha;apontador,2,9.563
escolar_0137,train,apontador;lapis,2,9.308
escolar_0138,train,lapis;borracha;apontador,3,9.655
escolar_0139,train,borracha,1,9.731
escolar_0140,train,apontador;lapis;borracha,3,8.338
escolar_0141,train,lapis,1,9.407
escolar_0142,train,borracha;lapis,2,8.924
escolar_0143,train,apontador;lapis;borracha,3,8.846
escolar_0144,train,lapis;borracha,2,9.205
escolar_0145,train,borracha;lapis;apontador,3,9.725
escolar_0146,train,apontador;borracha;lapis,3,8.508
escolar_0147,train,lapis;apontador,2,9.011
escolar_0148,train,borracha;apontador,2,8.657
escolar_0149,train,apontador;lapis;borracha,3,8.902
escolar_0150,train,lapis;apontador;borracha,3,9.012
escolar_0151,train,borracha;lapis,2,9.527
escolar_0152,train,apontador;borracha,2,8.810
escolar_0153,train,lapis;borracha;apontador,3,9.336
escolar_0154,train,borracha,1,9.362
escolar_0155,train,apontador;lapis,2,9.585
escolar_0156,train,lapis;apontador;borracha,3,9.067
escolar_0157,train,borracha,1,8.884
escolar_0158,train,apontador;lapis,2,8.671
escolar_0159,train,lapis;apontador,2,9.794
escolar_0160,train,borracha;apontador;lapis,3,8.951
escolar_0161,train,apontador;borracha,2,9.645
escolar_0162,train,lapis;borracha;apontador,3,9.619
escolar_0163,train,borracha;lapis,2,9.615
escolar_0164,train,apontador;borracha;lapis,3,9.627
escolar_0165,train,lapis;borracha;apontador,3,8.315
escolar_0166,train,borracha;apontador,2,9.219
escolar_0167,train,apontador;borracha;lapis,3,9.797
escolar_0168,train,lapis;apontador,2,9.598
escolar_0169,train,borracha;apontador;lapis,3,8.426
escolar_0170,train,apontador,1,8.459
escolar_0171,train,lapis;apontador;borracha,3,9.108
escolar_0172,train,borracha;apontador,2,9.580
escolar_0173,train,apontador;lapis;borracha,3,9.143
escolar_0174,train,lapis,1,8.841
escolar_0175,train,borracha;apontador;lapis,3,9.499
escolar_0176,train,apontador;lapis;borracha,3,8.690
escolar_0177,train,lapis;apontador,2,9.398
escolar_0178,train,borracha;apontador;lapis,3,9.022
escolar_0179,train,apontador;lapis,2,8.609
escolar_0180,train,lapis;borracha;apontador,3,8.659
escolar_0181,train,borracha;apontador;lapis,3,8.870
escolar_0182,train,apontador;borracha;lapis,3,8.346
escolar_0183,train,lapis;borracha,2,9.583
escolar_0184,train,borracha;apontador,2,8.595
escolar_0185,train,apontador,1,8.378
escolar_0186,train,lapis;borracha,2,8.665
escolar_0187,train,borracha,1,9.484
escolar_0188,train,apontador;borracha;lapis,3,9.571
escolar_0189,train,lapis;borracha,2,8.422
escolar_0190,train,borracha,1,9.232
escolar_0191,train,apontador;lapis,2,9.582
