epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.137,1.07152,2.49905,1.11714,0.99149,0.20196,0.64677,0.58297,0.68577,3.16043,0.92024,0.000458691,0.000458691,0.000458691
2,25.8394,0.84512,1.10438,0.98365,0.99452,0.40166,0.65734,0.56124,0.7541,2.81549,0.93382,0.000923454,0.000923454,0.000923454
3,36.5749,0.79898,0.99617,0.98666,0.99007,0.53439,0.99399,0.7813,0.71664,2.24428,0.92537,0.00137643,0.00137643,0.00137643
4,49.5641,0.74806,0.87834,0.95359,0.9166,0.94527,0.99447,0.80431,0.69362,1.27047,0.89417,0.00137595,0.00137595,0.00137595
5,63.0322,0.71204,0.81601,0.93697,0.99051,0.99895,0.995,0.81257,0.62373,0.84576,0.89529,0.00135826,0.00135826,0.00135826
6,76.6308,0.73052,0.77125,0.94984,0.99258,0.98143,0.995,0.82589,0.62425,0.91133,0.8874,0.00134058,0.00134058,0.00134058
7,90.3586,0.68409,0.70989,0.92878,0.98896,0.99877,0.995,0.83006,0.59789,0.71194,0.89075,0.0013229,0.0013229,0.0013229
8,104.26,0.65337,0.65765,0.93371,0.99411,0.9999,0.995,0.86323,0.51647,0.67832,0.85542,0.00130521,0.00130521,0.00130521
9,117.858,0.64926,0.6413,0.93588,0.99573,0.99955,0.995,0.8622,0.52648,0.61032,0.8592,0.00128753,0.00128753,0.00128753
10,128.625,0.64134,0.59702,0.92832,0.99698,1,0.995,0.8584,0.54805,0.56757,0.86597,0.00126985,0.00126985,0.00126985
11,141.884,0.65648,0.60023,0.92718,0.99643,1,0.995,0.85811,0.5291,0.52154,0.86148,0.00125216,0.00125216,0.00125216
12,154.996,0.63217,0.57289,0.91084,0.9955,1,0.995,0.87884,0.48931,0.5097,0.84305,0.00123448,0.00123448,0.00123448
13,168.388,0.61214,0.53905,0.911,0.98741,1,0.995,0.87504,0.52608,0.49175,0.86669,0.00121679,0.00121679,0.00121679
14,181.663,0.58687,0.50558,0.91166,0.99834,1,0.995,0.8768,0.49287,0.4651,0.8537,0.00119911,0.00119911,0.00119911
15,193.157,0.57425,0.49406,0.90043,0.99338,1,0.995,0.88412,0.48462,0.46328,0.84737,0.00118143,0.00118143,0.00118143
16,207.748,0.5807,0.47168,0.90473,0.99719,1,0.995,0.88479,0.47659,0.4228,0.84304,0.00116374,0.00116374,0.00116374
17,218.604,0.57693,0.45852,0.90057,0.99765,1,0.995,0.88814,0.46786,0.41892,0.84134,0.00114606,0.00114606,0.00114606
18,233.512,0.60208,0.48483,0.91882,0.99877,1,0.995,0.87925,0.48274,0.40519,0.84487,0.00112837,0.00112837,0.00112837
19,246.852,0.58338,0.47052,0.91692,0.99739,1,0.995,0.88469,0.4801,0.39819,0.84672,0.00111069,0.00111069,0.00111069
20,259.495,0.56133,0.44162,0.89779,0.99653,1,0.995,0.8934,0.4531,0.37596,0.84222,0.00109301,0.00109301,0.00109301
21,272.766,0.5557,0.42112,0.89075,0.99664,1,0.995,0.89081,0.45809,0.35741,0.84531,0.00107532,0.00107532,0.00107532
22,284.685,0.58143,0.42759,0.89826,0.99759,1,0.995,0.89261,0.46524,0.3662,0.84768,0.00105764,0.00105764,0.00105764
23,295.853,0.55884,0.41247,0.89794,0.99787,1,0.995,0.88657,0.46787,0.35068,0.84557,0.00103995,0.00103995,0.00103995
24,310.304,0.53025,0.39681,0.88844,0.99725,1,0.995,0.88276,0.47495,0.33495,0.84638,0.00102227,0.00102227,0.00102227
25,323.816,0.54345,0.39696,0.89874,0.9967,1,0.995,0.89928,0.44695,0.33218,0.83956,0.00100459,0.00100459,0.00100459
26,337.413,0.52168,0.3849,0.88884,0.99725,1,0.995,0.89114,0.45666,0.32394,0.84041,0.000986903,0.000986903,0.000986903
27,350.951,0.51841,0.38128,0.88228,0.99709,1,0.995,0.89178,0.4607,0.33158,0.84017,0.000969219,0.000969219,0.000969219
28,363.726,0.52233,0.37119,0.88374,0.99691,1,0.995,0.90423,0.44006,0.31798,0.83385,0.000951535,0.000951535,0.000951535
29,377.44,0.53692,0.37835,0.89653,0.99734,1,0.995,0.88976,0.46694,0.32879,0.83845,0.000933851,0.000933851,0.000933851
30,388.709,0.53193,0.3799,0.88348,0.99741,1,0.995,0.88995,0.4604,0.31749,0.83629,0.000916168,0.000916168,0.000916168
31,402.743,0.51419,0.37143,0.89504,0.99739,1,0.995,0.90156,0.43886,0.29563,0.83385,0.000898484,0.000898484,0.000898484
32,415.757,0.50907,0.35484,0.87907,0.99704,1,0.995,0.90203,0.43677,0.29848,0.83477,0.0008808,0.0008808,0.0008808
33,429.007,0.51823,0.36294,0.89618,0.99712,1,0.995,0.90048,0.43963,0.29806,0.8391,0.000863116,0.000863116,0.000863116
34,440.835,0.54944,0.36266,0.89116,0.99619,1,0.995,0.89749,0.44188,0.30487,0.83037,0.000845432,0.000845432,0.000845432
35,452.063,0.52703,0.36112,0.8838,0.99621,1,0.995,0.90029,0.42735,0.29796,0.82894,0.000827748,0.000827748,0.000827748
36,466.206,0.51028,0.34852,0.87693,0.99717,1,0.995,0.89869,0.43094,0.28832,0.83186,0.000810064,0.000810064,0.000810064
37,479.306,0.51679,0.35811,0.88827,0.99739,1,0.995,0.90376,0.43081,0.28549,0.82886,0.00079238,0.00079238,0.00079238
38,492.522,0.511,0.34846,0.8822,0.99724,1,0.995,0.90414,0.42726,0.27939,0.83031,0.000774697,0.000774697,0.000774697
39,505.216,0.48906,0.33444,0.88549,0.99708,1,0.995,0.90999,0.40608,0.27011,0.82612,0.000757013,0.000757013,0.000757013
40,517.786,0.4867,0.33099,0.87783,0.99688,1,0.995,0.90492,0.41216,0.27117,0.82999,0.000739329,0.000739329,0.000739329
41,529.034,0.47975,0.3307,0.86915,0.99697,1,0.995,0.90909,0.39263,0.26799,0.82344,0.000721645,0.000721645,0.000721645
42,543.274,0.47386,0.32683,0.87573,0.99756,1,0.995,0.90934,0.40483,0.27276,0.82179,0.000703961,0.000703961,0.000703961
43,555.961,0.47912,0.3235,0.8683,0.99744,1,0.995,0.90717,0.41088,0.27362,0.82481,0.000686277,0.000686277,0.000686277
44,569.229,0.46982,0.32071,0.86402,0.99689,1,0.995,0.90971,0.39964,0.26953,0.82211,0.000668593,0.000668593,0.000668593
45,581.077,0.47233,0.3192,0.87188,0.99751,1,0.995,0.90907,0.38903,0.25606,0.82089,0.000650909,0.000650909,0.000650909
46,592.437,0.47863,0.3203,0.87181,0.99686,1,0.995,0.90556,0.39216,0.25795,0.82145,0.000633226,0.000633226,0.000633226
47,604.828,0.48167,0.32398,0.879,0.99714,1,0.995,0.90991,0.38259,0.25685,0.81779,0.000615542,0.000615542,0.000615542
48,617.469,0.44141,0.29895,0.8589,0.99765,1,0.995,0.9104,0.39687,0.25932,0.82572,0.000597858,0.000597858,0.000597858
49,628.529,0.46298,0.30772,0.86501,0.99726,1,0.995,0.90338,0.39138,0.24939,0.82055,0.000580174,0.000580174,0.000580174
50,641.875,0.44818,0.30635,0.87185,0.99727,1,0.995,0.91254,0.38393,0.24222,0.81928,0.00056249,0.00056249,0.00056249
51,652.438,0.45741,0.307,0.8628,0.99746,1,0.995,0.90545,0.39539,0.24273,0.8201,0.000544806,0.000544806,0.000544806
52,666.201,0.46233,0.30385,0.87652,0.9976,1,0.995,0.90341,0.38298,0.24217,0.81976,0.000527122,0.000527122,0.000527122
53,678.35,0.44407,0.30152,0.87284,0.99647,1,0.995,0.90826,0.39251,0.23945,0.82216,0.000509438,0.000509438,0.000509438
54,691.072,0.45123,0.31462,0.86194,0.99701,1,0.995,0.91085,0.38205,0.24331,0.81844,0.000491755,0.000491755,0.000491755
55,702.492,0.43656,0.29256,0.86466,0.99727,1,0.995,0.91165,0.37853,0.24077,0.81944,0.000474071,0.000474071,0.000474071
56,713.077,0.44079,0.29528,0.85757,0.9975,1,0.995,0.90547,0.37851,0.23549,0.81706,0.000456387,0.000456387,0.000456387
57,726.279,0.41897,0.28604,0.8535,0.99743,1,0.995,0.90963,0.37487,0.22835,0.81933,0.000438703,0.000438703,0.000438703
58,739.151,0.4186,0.28303,0.85287,0.9976,1,0.995,0.91443,0.38025,0.23733,0.82067,0.000421019,0.000421019,0.000421019
59,752.13,0.41607,0.28431,0.85314,0.99733,1,0.995,0.90296,0.38023,0.22728,0.82004,0.000403335,0.000403335,0.000403335
60,764.594,0.41559,0.27968,0.85677,0.99761,1,0.995,0.90318,0.37621,0.22503,0.81821,0.000385651,0.000385651,0.000385651
61,775.091,0.44463,0.27997,0.8839,0.99772,1,0.995,0.90965,0.37753,0.23067,0.81661,0.000367967,0.000367967,0.000367967
62,788.579,0.42196,0.283,0.86029,0.99708,1,0.995,0.90976,0.36496,0.21878,0.81588,0.000350284,0.000350284,0.000350284
63,801.303,0.42059,0.27779,0.86396,0.99713,1,0.995,0.91462,0.36926,0.21764,0.81584,0.0003326,0.0003326,0.0003326
